,AT,AU,BD,BE,BG,BR,BT,CA,CH,CN,CY,CZ,DE,DK,EE,ES,ET,FI,FR,GB,GR,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KR,LT,LV,ME,MK,MT,MX,MY,NG,NL,NO,NZ,PL,PT,RS,RU,SA,SE,SG,SI,SK,TR,TW,UA,US
AT,0.0,2.0,0.0,24.0,16.0,0.0,0.0,4.0,7.0,0.0,0.0,21.0,89.0,32.0,9.0,29.0,0.0,20.0,28.0,40.0,0.0,9.0,8.0,0.0,8.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,8.0,8.0,8.0,4.0,1.0,0.0,0.0,0.0,44.0,25.0,0.0,18.0,2.0,18.0,0.0,0.0,26.0,0.0,0.0,8.0,0.0,0.0,17.0,11.0
AU,2.0,0.0,0.0,6.0,0.0,14.0,0.0,90.0,11.0,19.0,0.0,0.0,48.0,93.0,0.0,5.0,0.0,40.0,10.0,118.0,0.0,0.0,0.0,0.0,30.0,14.0,18.0,0.0,4.0,38.0,4.0,1.0,0.0,0.0,0.0,0.0,14.0,42.0,17.0,0.0,16.0,25.0,71.0,4.0,14.0,15.0,0.0,1.0,93.0,5.0,0.0,0.0,14.0,1.0,0.0,72.0
BD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
BE,24.0,6.0,0.0,0.0,16.0,0.0,0.0,9.0,21.0,0.0,1.0,22.0,157.0,76.0,14.0,38.0,0.0,75.0,52.0,97.0,1.0,10.0,8.0,0.0,21.0,0.0,3.0,0.0,5.0,65.0,0.0,0.0,10.0,8.0,8.0,4.0,2.0,0.0,3.0,0.0,65.0,68.0,0.0,31.0,7.0,19.0,0.0,0.0,61.0,0.0,5.0,8.0,0.0,0.0,18.0,49.0
BG,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,16.0,8.0,12.0,0.0,8.0,16.0,16.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0
BR,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,10.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
BT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
CA,4.0,90.0,0.0,9.0,0.0,12.0,0.0,0.0,13.0,12.0,0.0,0.0,80.0,52.0,0.0,11.0,0.0,36.0,15.0,111.0,0.0,0.0,0.0,0.0,28.0,12.0,15.0,0.0,3.0,39.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,36.0,15.0,0.0,18.0,19.0,60.0,3.0,14.0,14.0,0.0,0.0,75.0,2.0,0.0,0.0,12.0,1.0,0.0,72.0
CH,7.0,11.0,0.0,21.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,1.0,133.0,31.0,2.0,18.0,0.0,49.0,30.0,46.0,0.0,1.0,0.0,0.0,11.0,0.0,7.0,0.0,7.0,79.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,35.0,15.0,1.0,9.0,1.0,3.0,0.0,1.0,32.0,2.0,2.0,0.0,0.0,1.0,1.0,84.0
CN,0.0,19.0,1.0,0.0,0.0,2.0,1.0,12.0,2.0,0.0,0.0,0.0,9.0,34.0,0.0,0.0,1.0,7.0,0.0,20.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,3.0,9.0,13.0,3.0,2.0,2.0,0.0,2.0,25.0,9.0,0.0,0.0,2.0,0.0,0.0,13.0
CY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,2.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CZ,21.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,21.0,10.0,19.0,0.0,11.0,24.0,26.0,0.0,11.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,10.0,10.0,10.0,6.0,1.0,0.0,0.0,0.0,45.0,21.0,0.0,22.0,1.0,20.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,21.0,0.0
DE,89.0,48.0,9.0,157.0,24.0,0.0,9.0,80.0,133.0,9.0,2.0,32.0,0.0,235.0,19.0,195.0,9.0,248.0,187.0,354.0,2.0,14.0,12.0,9.0,76.0,0.0,36.0,9.0,26.0,334.0,0.0,18.0,14.0,17.0,12.0,6.0,2.0,0.0,18.0,9.0,256.0,160.0,9.0,72.0,12.0,54.0,36.0,0.0,188.0,0.0,9.0,12.0,0.0,0.0,26.0,354.0
DK,32.0,93.0,2.0,76.0,16.0,6.0,2.0,52.0,31.0,34.0,2.0,21.0,235.0,0.0,21.0,51.0,2.0,700.0,66.0,205.0,4.0,9.0,8.0,2.0,39.0,6.0,20.0,2.0,204.0,87.0,7.0,5.0,17.0,9.0,8.0,4.0,7.0,18.0,9.0,2.0,88.0,518.0,39.0,39.0,24.0,26.0,36.0,7.0,615.0,14.0,7.0,8.0,6.0,1.0,17.0,100.0
EE,9.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,19.0,21.0,0.0,10.0,0.0,20.0,16.0,14.0,0.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,10.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,8.0,3.0,8.0,0.0,0.0,15.0,0.0,2.0,4.0,0.0,0.0,8.0,0.0
ES,29.0,5.0,0.0,38.0,12.0,0.0,0.0,11.0,18.0,0.0,3.0,19.0,195.0,51.0,10.0,0.0,0.0,49.0,56.0,140.0,3.0,9.0,6.0,0.0,27.0,0.0,0.0,0.0,4.0,45.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,51.0,43.0,0.0,18.0,11.0,17.0,0.0,0.0,35.0,0.0,3.0,6.0,0.0,0.0,15.0,24.0
ET,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
